LGA,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
goldenplains,470000.0,512500.0,517750.0,547250.0,605000.0,665250.0,681000.0,750000.0,927500.0,964750.0,937500.0
greaterbendigo,310935.34769770206,328014.167230921,325516.42471630423,336595.01878194127,342531.23252801836,356818.87929266394,373517.4164927078,420126.96493943984,515701.8279029127,583633.8610164444,565005.3571378401
greaterdandenong,426039.6145236982,465587.9829785157,539156.9780415182,615582.8319921622,692625.7034175459,706116.7777723542,667198.8475109305,697366.0695607606,782208.3066028854,809119.642869595,785574.168712127
greatergeelong,393357.075672714,415601.4617505349,429994.38694752223,455758.01060165936,564741.2329755962,593152.4908246509,602214.2496216799,662559.3812509784,794461.3970012697,897780.809822407,831797.027795655
greatershepparton,518833.3333333333,524944.4444444445,485055.55555555556,603222.2222222222,760111.1111111111,699111.1111111111,758500.0,827111.1111111111,947166.6666666666,848166.6666666666,948666.6666666666
hindmarsh,76625.0,79500.0,91625.0,103875.0,107250.0,117500.0,111375.0,115250.0,153750.0,184750.0,217750.0
hobsonsbay,569909.824168006,608212.6515820433,680123.7636812918,785177.4724786086,903546.5529179345,901205.7688520738,866359.389987486,893808.2284672507,1038212.8897937404,1061194.6824796884,1032397.453040534
horsham,238750.0,234750.0,260750.0,275000.0,271250.0,262500.0,279500.0,310000.0,364750.0,409500.0,416500.0
hume,467224.9347832805,486444.4506567284,538186.3579717417,632494.2548226533,722900.4027031283,719526.2647188214,712070.9074577325,730867.2904126641,816739.0448417364,842455.9310799418,817896.3936956435
indigo,287285.71428571426,284928.5714285714,306928.5714285714,349785.71428571426,360571.4285714286,384500.0,413857.14285714284,468285.71428571426,577142.8571428572,639928.5714285715,617357.1428571428
kingston,630266.0367079303,718588.514054135,843566.6798935776,909067.1798057597,1065074.6218946574,1040574.1328784144,993003.7389333039,1039403.3445653658,1227964.8983262538,1252981.1010752828,1203250.891027601
knox,512708.1143026889,573218.486526157,677311.8802221516,734476.7495027216,839768.3002833687,817374.6348680282,777073.049692896,813505.4853524925,965195.5680332237,983245.5987581873,1009585.1256228721
latrobe,249250.0,260312.5,253312.5,260062.5,303937.5,293437.5,306625.0,331125.0,442125.0,515187.5,512500.0
loddon,263800.0,280400.0,303300.0,317100.0,373000.0,354500.0,353700.0,368300.0,440900.0,519500.00000000006,507200.0
macedonranges,469850.0,463550.0,491350.0,533800.0,586700.0,685750.0,687950.0,744250.0,956050.0,938600.0,932100.0
manningham,733419.2928999166,828821.5494335531,1007002.7363940405,1091168.6782027048,1212919.111134612,1142666.0574774942,1088337.7067167235,1153005.5587134983,1369403.0034237972,1371466.6477190107,1397879.2747894826
maribyrnong,606110.2295189984,652390.0656160773,723640.4774324622,813073.4680430485,907584.998901823,923887.7937623545,849069.7479683725,888234.2823413134,1031292.1699978036,1026244.3443883155,968324.0857676257
maroondah,546413.4779390468,609233.4180800051,718720.1160707581,787379.890365698,904286.3364764694,881421.0783209432,841410.3777126981,889881.0221092267,1054344.779497742,1065811.0256492775,1080880.222915929
melbourne,923582.1885895149,971816.5276907504,1031440.4090551244,1243296.733664305,1456034.800212079,1467057.0684918303,1282051.9593194197,1437055.702832538,1596770.223807458,1500905.030446169,1525136.9675937083
melton,273397.92640568275,368435.62659959256,401092.121843253,447601.8148846987,509398.7457888276,558090.6177365438,506722.5172037815,550530.0629553942,592899.1024326865,646133.9862826773,639740.7619447128
merribek,686597.2616150863,748705.3414822699,819456.458000659,927760.288191012,1066617.1080145997,1036458.5142447974,981004.9162928041,1076129.3095582086,1238832.622994449,1215563.767013915,1188056.861962335
mildura,177250.0,187437.5,199500.0,204812.5,218750.0,230312.5,240312.5,258562.5,307375.0,353875.0,360750.0
mitchell,289315.7894736842,277315.7894736842,298684.2105263158,311473.6842105263,369236.84210526315,415131.5789473684,414736.84210526315,461842.1052631579,554342.1052631579,632315.7894736842,611368.4210526316
monash,779153.0847004824,895080.1595816488,1140508.0380551785,1155643.5581165669,1289177.309706344,1224247.5501445895,1172592.7559452334,1236358.5062845044,1448228.6760265164,1462887.0448263856,1527588.6360245268
mooneevalley,770597.6940273121,836871.7500121495,974356.0042766195,1089126.5490596297,1219763.4859308938,1309734.1327695972,1209735.2626719153,1261209.8580939884,1444866.373864023,1500180.7053992322,1413503.1527919522
moorabool,326950.0,333450.0,370650.0,377550.0,429950.0,477850.0,497900.0,533850.0,675800.0,747000.0,719150.0
morningtonpeninsula,535121.2676269328,556436.3546431767,611715.9004700516,692780.6863004549,810150.443587514,891359.5887994153,886235.6193212607,967557.6707874938,1277821.5360477865,1417980.8104293474,1307064.3743777804
moyne,271928.5714285714,270071.4285714286,284071.4285714286,287000.0,296428.5714285714,326142.85714285716,332357.14285714284,376571.4285714286,482071.4285714286,592785.7142857143,564928.5714285715
northerngrampians,166750.0,185500.0,193250.0,199125.0,203000.0,222250.0,224750.0,247750.0,323250.0,403750.0,382125.0
portphillip,1096746.7098896846,1247269.8051738597,1441035.255789949,1612828.8013676538,1755844.0261918586,1709412.6185407394,1694072.9630346429,1735945.3099800013,2027141.8940713503,1984774.5306754403,1786974.6306689891
pyrenees,184250.0,200000.0,193750.0,201250.0,216250.0,222500.0,231000.0,307500.0,357500.0,395000.0,377500.0
southgippsland,282750.0,283750.0,293375.0,294875.0,320500.0,348125.0,357500.0,427375.0,579875.0,651625.0,639625.0
stonnington,1619659.651484556,1894348.5304016154,2227368.334455164,2507851.978161693,2651330.745643557,2594970.81744073,2535312.2728292574,2841161.222047715,3149351.312542069,3171903.298182634,2928361.3791040312
surfcoast,637800.0,645600.0,689000.0,702700.0,849100.0,945800.0,976500.0,1112800.0,1542400.0,1678500.0,1539000.0
swanhill,192500.0,177833.33333333334,225833.33333333334,218333.33333333334,210500.0,239833.33333333334,251833.33333333334,261500.0,340666.6666666667,370333.3333333333,412000.0
wangaratta,240000.0,255000.0,272000.0,270500.0,270000.0,320000.0,319000.0,356500.0,425000.0,530000.0,525000.0
wellington,204458.33333333334,202875.0,210250.0,223750.0,228958.33333333334,242708.33333333334,264041.6666666667,280208.3333333333,353375.0,412958.3333333333,444083.3333333333
westwimmera,160000.0,130000.0,115000.0,144500.0,160000.0,147000.0,169500.0,143000.0,206500.0,225000.0,266000.0
whitehorse,740702.0810826179,844402.2857792688,1043695.3033490647,1112845.681469267,1286877.193381475,1192466.6344458975,1136179.0413373515,1200500.420765338,1395609.0805708761,1361003.9006084038,1396097.6061863876
whittlesea,408909.99866960593,435057.5705946931,473644.0405583138,527416.1237753405,608779.4227925076,681188.7181530319,648822.2256609359,690249.3691215201,805682.2964435427,824073.0139282017,802961.7393507606
wodonga,385083.3333333333,397583.3333333333,423833.3333333333,444916.6666666667,480833.3333333333,515500.0,499000.0,550666.6666666666,684250.0,797833.3333333334,790416.6666666666
wyndham,348846.4525923597,361998.0620811459,394409.050274599,406421.0751699611,485503.76212711394,522487.82449858467,516542.519899354,559520.7050056856,642270.4993588659,686758.8815232381,687610.5031088961
yarra,840270.6927479286,905990.1341077988,1008032.1175365166,1142465.4693772956,1333347.6766037415,1275830.656871957,1247477.8764841547,1296070.940462971,1512651.1915947723,1487135.5812761595,1422282.395148202
yarraranges,400338.1723045061,417998.07937361184,473813.1320228552,530566.4833129594,614250.342786276,637194.0550627316,622054.2557342516,666080.6050842879,791709.619947228,819036.0445738126,801879.7964497574
yarriambiack,92000.0,105000.0,98000.0,101166.66666666667,107333.33333333333,101166.66666666667,117166.66666666667,115333.33333333333,158833.33333333334,209333.33333333334,224000.0
