,Year,Local Government Area,Offence Count,"Rate per 100,000 population"
148,2016,colacotway,2955.0,7858.010763802576
149,2016,darebin,16853.0,10864.1
150,2016,eastgippsland,4158.0,9118.4
151,2016,frankston,16908.0,12120.3
152,2016,gleneira,7521.0,5061.8
153,2016,glenelg,3023.0,8424.807532588715
154,2016,goldenplains,865.0,3929.0000000000005
155,2016,greaterbendigo,10853.0,9667.1
156,2016,greaterdandenong,20635.0,12878.999999999998
157,2016,greatergeelong,23105.0,9529.472323862854
158,2016,greatershepparton,8399.0,12907.199999999999
159,2016,hindmarsh,370.0,6397.0
160,2016,hobsonsbay,6697.0,7166.800000000001
161,2016,horsham,2824.0,14202.399999999998
162,2016,hume,23644.0,11420.0
163,2016,indigo,396.0,2449.7
164,2016,kingston,11568.0,7278.2
165,2016,knox,12132.0,7565.8
166,2016,latrobe,14480.0,19404.5
167,2016,loddon,478.0,6324.4
168,2016,macedonranges,2456.0,5172.7
169,2016,manningham,5014.0,4090.7
170,2016,maribyrnong,9139.0,10511.6
171,2016,maroondah,9199.0,8013.1
172,2016,melbourne,37886.0,25932.299999999996
173,2016,melton,12053.0,8522.8
174,2016,merribek,14866.0,8628.3
175,2016,mildura,6518.0,11925.1
176,2016,mitchell,6043.0,9365.923258844023
177,2016,monash,12535.0,6507.500000000001
178,2016,mooneevalley,9618.0,7827.7
179,2016,moorabool,3451.0,7160.210461883651
180,2016,morningtonpeninsula,12006.0,7432.8
181,2016,moyne,646.0,3859.7
182,2016,northerngrampians,2525.0,10829.913932891388
183,2016,portphillip,13601.0,12520.8
184,2016,pyrenees,561.0,7668.1
185,2016,southgippsland,1503.0,5161.0
186,2016,stonnington,11590.0,10441.2
187,2016,surfcoast,1352.0,4437.900000000001
188,2016,swanhill,2224.0,10643.2
189,2016,total,549098.0,8896.185376612228
190,2016,wangaratta,2594.0,9072.5
191,2016,warrnambool,3239.0,9459.1
192,2016,wellington,4747.0,10905.1
193,2016,westwimmera,187.0,4749.8
194,2016,whitehorse,7988.0,4708.8
195,2016,whittlesea,19840.0,7314.794206781821
196,2016,wodonga,3310.0,8254.400000000001
197,2016,wyndham,15380.0,6775.1
198,2016,yarra,14004.0,15075.200000000003
199,2016,yarraranges,8917.0,5744.5
200,2016,yarriambiack,440.0,6525.299999999999
201,2017,alpine,671.0,3578.5000000000005
202,2017,ballarat,11583.0,10973.8
203,2017,banyule,9655.0,7504.3
204,2017,basscoast,2574.0,7407.6
205,2017,bawbaw,3751.0,7371.8
206,2017,bayside,4761.0,4592.7
